11-01-2023 14:39:31 | ::1 | inside getData 
11-01-2023 14:39:31 | ::1 | 2 
11-01-2023 14:39:31 | ::1 | inside getData 
11-01-2023 14:39:31 | ::1 | 2 
11-01-2023 14:40:38 | ::1 | inside crud count 
11-01-2023 14:40:41 | ::1 | inside getData 
11-01-2023 14:40:41 | ::1 | 2 
11-01-2023 14:40:41 | ::1 | inside getData 
11-01-2023 14:40:41 | ::1 | 2 
11-01-2023 14:40:41 | ::1 | inside getData 
11-01-2023 14:40:41 | ::1 | 2 
11-01-2023 14:42:01 | ::1 | inside getData 
11-01-2023 14:42:01 | ::1 | 2 
11-01-2023 14:42:01 | ::1 | inside getData 
11-01-2023 14:42:01 | ::1 | 2 
11-01-2023 14:42:01 | ::1 | inside getData 
11-01-2023 14:42:01 | ::1 | 2 
11-01-2023 14:42:27 | ::1 | inside getData 
11-01-2023 14:42:27 | ::1 | 2 
11-01-2023 14:42:27 | ::1 | inside getTotalRatings 
11-01-2023 14:42:27 | ::1 | 6 
11-01-2023 14:42:27 | ::1 | inside getData 
11-01-2023 14:42:27 | ::1 | 2 
11-01-2023 14:42:27 | ::1 | inside getTotalRatings 
11-01-2023 14:42:27 | ::1 | 6 
11-01-2023 14:42:27 | ::1 | inside getData 
11-01-2023 14:42:27 | ::1 | 2 
11-01-2023 14:42:27 | ::1 | inside getTotalRatings 
11-01-2023 14:42:27 | ::1 | 6 
11-01-2023 14:42:54 | ::1 | inside getTotalRatings 
11-01-2023 14:42:54 | ::1 | 6 
11-01-2023 14:42:54 | ::1 | inside getTotalRatings 
11-01-2023 14:42:54 | ::1 | 6 
11-01-2023 14:42:54 | ::1 | inside getTotalRatings 
11-01-2023 14:42:54 | ::1 | 6 
11-01-2023 14:54:09 | ::1 | 54 
11-01-2023 15:06:39 | ::1 | 54 
11-01-2023 15:07:43 | ::1 | 54 
11-01-2023 15:07:43 | ::1 | 54 
11-01-2023 15:12:59 | ::1 | inside getTotalRatings 
11-01-2023 15:16:24 | ::1 | inside execute 
11-01-2023 15:19:45 | ::1 | inside execute (base.async.php) 
11-01-2023 15:20:57 | ::1 | getData => [217] 
11-01-2023 15:21:49 | ::1 | getData => [218] 
11-01-2023 15:23:54 | ::1 | getData => [219] 
11-01-2023 15:25:31 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:25:31 | ::1 | inside execute - base.async.php 
11-01-2023 15:25:31 | ::1 | getData => [220] 
11-01-2023 15:25:31 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:25:31 | ::1 | inside execute - base.async.php 
11-01-2023 15:26:10 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:26:10 | ::1 | inside execute - base.async.php 
11-01-2023 15:26:10 | ::1 | getData => [221] 
11-01-2023 15:26:10 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:26:10 | ::1 | inside execute - base.async.php 
11-01-2023 15:26:56 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:26:56 | ::1 | inside execute - base.async.php 
11-01-2023 15:26:56 | ::1 | inside getData - base.async.php 
11-01-2023 15:26:56 | ::1 | inside sendData - set_rating.php 
11-01-2023 15:26:56 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:26:56 | ::1 | inside execute - base.async.php 
11-01-2023 15:29:16 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:29:16 | ::1 | inside execute - base.async.php 
11-01-2023 15:29:16 | ::1 | inside getData - base.async.php 
11-01-2023 15:29:16 | ::1 | inside sendData - set_rating.php 
11-01-2023 15:29:16 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:29:16 | ::1 | inside execute - base.async.php 
11-01-2023 15:30:03 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:30:03 | ::1 | inside execute - base.async.php 
11-01-2023 15:30:03 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:30:03 | ::1 | inside execute - base.async.php 
11-01-2023 15:30:03 | ::1 | inside getData - base.async.php 
11-01-2023 15:30:03 | ::1 | inside sendData - set_rating.php 
11-01-2023 15:30:03 | ::1 | data: => [224] 
11-01-2023 15:30:22 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:30:22 | ::1 | inside execute - base.async.php 
11-01-2023 15:30:22 | ::1 | inside getData - base.async.php 
11-01-2023 15:30:22 | ::1 | inside sendData - set_rating.php 
11-01-2023 15:30:22 | ::1 | data: => [225] 
11-01-2023 15:30:23 | ::1 | inside executeHandler - ajax controller.php 
11-01-2023 15:30:23 | ::1 | inside execute - base.async.php 
